lon,lat,state,city
-86.279118,32.361538,Alabama,Montgomery
-134.41974,58.301935,Alaska,Juneau
-112.073844,33.448457,Arizona,Phoenix
-92.331122,34.736009,Arkansas,Little Rock
-121.468926,38.555605,California,Sacramento
-104.984167,39.7391667,Colorado,Denver
-72.677,41.767,Connecticut,Hartford
-75.526755,39.161921,Delaware,Dover
-84.27277,30.4518,Florida,Tallahassee
-84.39,33.76,Georgia,Atlanta
-157.826182,21.30895,Hawaii,Honolulu
-116.237651,43.613739,Idaho,Boise
-89.650373,39.78325,Illinois,Springfield
-86.147685,39.790942,Indiana,Indianapolis
-93.620866,41.590939,Iowa,Des Moines
-95.69,39.04,Kansas,Topeka
-84.86311,38.197274,Kentucky,Frankfort
-91.140229,30.45809,Louisiana,Baton Rouge
-69.765261,44.323535,Maine,Augusta
-76.501157,38.972945,Maryland,Annapolis
-71.0275,42.2352,Massachusetts,Boston
-84.5467,42.7335,Michigan,Lansing
-93.094,44.95,Minnesota,Saint Paul
-90.207,32.32,Mississippi,Jackson
-92.189283,38.572954,Missouri,Jefferson City
-112.027031,46.595805,Montana,Helena
-96.675345,40.809868,Nebraska,Lincoln
-119.753877,39.160949,Nevada,Carson City
-71.549127,43.220093,New Hampshire,Concord
-74.756138,40.221741,New Jersey,Trenton
-105.964575,35.667231,New Mexico,Santa Fe
-73.781339,42.659829,New York,Albany
-78.638,35.771,North Carolina,Raleigh
-100.779004,48.813343,North Dakota,Bismarck
-83.000647,39.962245,Ohio,Columbus
-97.534994,35.482309,Oklahoma,Oklahoma City
-123.029159,44.931109,Oregon,Salem
-76.875613,40.269789,Pennsylvania,Harrisburg
-71.422132,41.82355,Rhode Island,Providence
-81.035,34,South Carolina,Columbia
-100.336378,44.367966,South Dakota,Pierre
-86.784,36.165,Tennessee,Nashville
-97.75,30.266667,Texas,Austin
-111.892622,40.7547,Utah,Salt Lake City
-72.57194,44.26639,Vermont,Montpelier
-77.46,37.54,Virginia,Richmond
-122.893077,47.042418,Washington,Olympia
-81.633294,38.349497,West Virginia,Charleston
-89.384444,43.074722,Wisconsin,Madison
-104.802042,41.145548,Wyoming,Cheyenne
